Hole ID,From,To,Lithology,2nd_lithology,comment
IP-06,7,14,Sand,NA,NA
IP-06,14,17,Clayey Sand,NA,NA
IP-06,17,28,Clay,NA,NA
IP-06,28,32,Clayey Sand,NA,NA
IP-06,32,42,Sand,NA,NA
IP-10,0,5,Clay,NA,NA
IP-10,5,10,Clayey Sand,NA,NA
IP-10,10,17,Sand,NA,NA
IP-10,17,33,Clay,NA,NA
IP-10,33,40,Sand,NA,NA
IP-03,0,2,Clay,NA,NA
IP-03,2,6,Clayey Sand,NA,NA
IP-03,6,10,Sand,NA,NA
IP-03,10,16,Clayey Sand,NA,NA
IP-03,16,18,Sand,NA,NA
IP-03,18,22,Clayey Sand,NA,NA
IP-03,22,32,Clay,NA,NA
IP-03,32,42,Sand,NA,NA
IP-40,0,5,Clay,NA,NA
IP-40,5,10,Clayey Sand,NA,NA
IP-40,10,18,Sand,NA,NA
IP-40,18,29,Clay,NA,NA
IP-40,29,31,Clayey Sand,NA,NA
IP-40,31,44,Sand,NA,NA
IP-38,0,14,Clay,NA,NA
IP-38,14,20,Clayey Sand,NA,NA
IP-38,20,29,Clay,NA,NA
IP-38,29,32,Clayey Sand,NA,NA
IP-38,32,44,Sand,NA,NA
IP-37,0,6,Clay,NA,NA
IP-37,6,16,Clayey Sand,NA,NA
IP-37,16,30,Clay,NA,NA
IP-37,30,34,Clayey Sand,NA,NA
IP-37,34,40,Sand,NA,NA
IP-42,0,6,Clay,NA,NA
IP-42,6,16,Clayey Sand,NA,NA
IP-42,16,22,Clay,NA,NA
IP-42,22,24,Clayey Sand,NA,NA
IP-42,24,30,Clay,NA,NA
IP-42,30,32,Clayey Sand,NA,NA
IP-42,32,44,Sand,NA,NA
IP-34,0,5,Clay,NA,NA
IP-34,5,14,Sand,NA,NA
IP-34,14,18,Clayey Sand,NA,NA
IP-34,18,30,Clay,NA,NA
IP-34,30,44,Sand,NA,NA
IP-34,44,50,Clayey Sand,NA,NA
IP-33,0,4,Clay,NA,NA
IP-33,4,10,Clayey Sand,NA,NA
IP-33,10,16,Sand,NA,NA
IP-33,16,18,Clayey Sand,NA,NA
IP-33,18,30,Clay,NA,NA
IP-33,30,42,Sand,NA,NA
IP-33,42,46,Clayey Sand,NA,NA
IP-32,0,4,Clay,NA,NA
IP-32,4,12,Clayey Sand,NA,NA
IP-32,12,20,Sand,NA,NA
IP-32,20,24,Clayey Sand,NA,NA
IP-32,24,32,Clay,NA,NA
IP-32,32,42,Sand,NA,NA
IP-31,0,2,Clay,NA,NA
IP-31,2,15,Clayey Sand,NA,NA
IP-31,15,24,Clay,NA,NA
IP-31,24,28,Clayey Sand,NA,NA
IP-31,28,38,Sand,NA,NA
IP-31,38,42,Clayey Sand,NA,NA
IP-30,0,4,Clay,NA,NA
IP-30,4,8,Clayey Sand,NA,NA
IP-30,8,21,Clay,NA,NA
IP-30,21,26,Clayey Sand,NA,NA
IP-30,26,36,Sand,NA,NA
IP-30,36,42,Clayey Sand,NA,NA
IP-22,0,4,Clay,NA,NA
IP-22,4,16,Sand,NA,NA
IP-22,16,26,Clayey Sand,NA,NA
IP-22,26,31,Clay,NA,NA
IP-22,31,34,Clayey Sand,NA,NA
IP-22,34,40,Sand,NA,NA
IP-22,40,44,Clayey Sand,NA,NA
IP-18,0,4,Clay,NA,NA
IP-18,4,16,Sand,NA,NA
IP-18,16,21,Clayey Sand,NA,NA
IP-18,21,30,Clay,NA,NA
IP-18,30,34,Clayey Sand,NA,NA
IP-18,34,40,Sand,NA,NA
IP-18,40,44,Clayey Sand,NA,NA
IP-17,0,2,Clay,NA,NA
IP-17,2,8,Clayey Sand,NA,NA
IP-17,8,13,Sand,NA,NA
IP-17,13,20,Clayey Sand,NA,NA
IP-17,20,30,Clay,NA,NA
IP-17,30,37,Clayey Sand,NA,NA
IP-16,0,6,Clay,NA,NA
IP-16,6,11,Sand,NA,NA
